List of female tennis players - Wikipedia 
========================================= 

Name    |    Nationality           |           Birth     |     Death     |     Notes
Anne White | United States | 1961 |  | Ranked world No. 19 in singles in 1986 and world No. 18 in doubles in 1988
Robin White | United States | 1963 |  | Ranked world No. 15 in singles in 1987 and world No. 8 in doubles in 1990 • 1988 US Open women's doubles champion • 1989 US Open mixed-doubles champion
Eileen Bennett Whittingstall | United Kingdom | 1907 | 1979 | Ranked world No. 3 at year-end in 1931 • 1928 French Championships runner-up • 1931 U.S. Championships runner-up • 1928/1931 French Championships women's doubles champion • 1931 U.S. Championships women's doubles champion • 1928/1929 French Championships mixed-doubles champion • 1927 U.S. Championships mixed-doubles champion
Yanina Wickmayer | Belgium | 1989 |  | Ranked world No. 12 in singles and world No. 72 in doubles in 2010 ◌ Singles: 2009 US Open semifinalist
Judith Wiesner | Austria | 1966 |  | Ranked world No. 12 in singles in 1997 and world No. 29 in doubles in 1989 • 1996 Wimbledon quaraterfinalist • 1996 US Open quarterfinalist
 | United States | 1886 | 1974 | 
Serena Williams | United States | 1981 |  | 
Venus Williams | United States | 1980 |  | 
Julia Wipplinger | South Africa |  |  | 1952 French quarterfinalist
Marianne Werdel Witmeyer | United States | 1967 |  | Ranked world No. 21 in singles in 1995 and world No. 45 in doubles in 1992
Caroline Wozniacki | Denmark | 1990 |  | 
Aleksandra Wozniak | Canada | 1987 |  | Ranked world No. 21 in 2009
Yan Zi | China | 1984 |  | Ranked world No. 40 in singles in 2008 and world No. 4 in doubles in 2006 • 2006 Australian Open women's doubles champion • 2006 Wimbledon women's doubles champion
Zhang Shuai | China | 1989 |  | Ranked world No. 23 in singles in 2016
Zheng Jie | China | 1983 |  | Ranked world No. 15 in singles in 2009 and world No. 3 in doubles in 2006 • 2006 Australian Open women's doubles champion • 2006 Wimbledon women's doubles champion
Radka Zrubáková | Czechoslovakia | 1970 |  | Ranked world No. 22 in singles in 1991 and world No. 38 in doubles in 1993
Fabiola Zuluaga | Colombia | 1979 |  | Ranked world No. 16 in singles in 2005
Natasha Zvereva | Belarus | 1971 |  | Ranked world No. 5 in singles in 1989 and world No. 1 in doubles in 1991 • 1989/1992/1993/1994/1995/1997 French Open women's doubles champion • 1991/1992/1995/1996 US Open women's doubles champion • 1991/1992/1993/1994/1997 Wimbledon women's doubles champion • 1993/1994/1997 Australian Open women's doubles champion • 1990 & 1995 Australian Open mixed-doubles champion
Vera Zvonareva | Russia | 1984 |  | Ranked world No. 2 in singles in 2010 and world No. 9 in doubles in 2005 • 2006 US Open women's doubles champion • 2012 Australian Open women's doubles champion • 2004 US Open mixed-doubles champion • 2006 Wimbledon mixed-doubles champion


Total player: 511
