List of male singles tennis players - Wikipedia 
=============================================== 

Name    |    Birth     |     Death     |     Nationality           |           Criteria for inclusion
Martin Verkerk | 1978 | – | Netherlands | 2003 French Open finalist • ranked world no. 14 in 2003
Ian Vermaak | 1933 | – | South Africa | 1959 French Championships singles finalist • ranked world no. 10 in 1959
Armando Vieira | 1925 | – | Brazil | 1951 Wimbledon quarterfinalist
Guillermo Vilas | 1952 | – | Argentina | 
Ellsworth Vines | 1911 | 1994 | United States | 
Danie Visser | 1961 | – | South Africa | 
Adrian Voinea | 1974 | – | Romania | 1995 French Open quarterfinalist
Filippo Volandri | 1981 | – | Italy | Ranked world no. 25 in 2007
Alexander Volkov | 1967 | – | Russia | 1993 US Open semifinalist, 1992 quarterfinalist • ranked world no. 14 in 1994
Butch Walts | 1955 | – | United States | 1978 U.S. Open quarterfinalist
Holcombe Ward | 1878 | 1961 | United States | 
Laurie Warder | 1962 | – | Australia | 
Leo Ware | 1876 | 1914 | United States | 1897, 1898, 1899, 1901 US semifinalist • Winner of 2 Grand Slam doubles title → 1897, 1898 US Champion
Kim Warwick | 1952 | – | Australia | 1980 Australian Open finalist • ranked world no. 15 in 1981
Philippe Washer | 1924 | 2015 | Belgium | 1957 French Championships singles quarterfinalist
MaliVai Washington | 1969 | – | United States | 1996 Wimbledon finalist • 1994 Australian Open quarterfinalist • ranked world no. 11 in 1992
Stan Wawrinka | 1985 | – | Switzerland | 
David Wheaton | 1969 | – | United States | 1991 Wimbledon semifinalist • 1990 Australian Open quarterfinalist • 1990 US Open quarterfinalist • ranked world no. 12 in 1992
Malcolm Whitman | 1877 | 1932 | United States | 
Mats Wilander | 1964 | – | Sweden | 
Tony Wilding | 1883 | 1915 | New Zealand | 
R. Norris Williams | 1891 | 1968 | United States | 
Tim Wilkison | 1959 | – | United States | 1986 US Open quarterfinalist • ranked world no. 23 in 1986
Bobby Wilson | 1935 | – | United Kingdom | 1958, 1959, 1961 and 1963 Wimbledon quarterfinalist, 1960 and 1963 U.S. National quarterfinalist, and 1963 French Championships quarterfinalist
Todd Witsken | 1963 | 1998 | United States | 1988 Australian Open quarterfinalist
Sidney Wood | 1911 | 2009 | United States | 
Todd Woodbridge | 1971 | – | Australia | 
Mark Woodforde | 1965 | – | Australia | 
Chris Woodruff | 1973 | – | United States | 2000 Australian Open quarterfinalist
Robert Wrenn | 1873 | 1925 | United States | 
George Wrenn | 1865 | 1948 | United States | 1900 U.S. Championships singles finalist
Beals Wright | 1879 | 1925 | United States | 
Mikhail Youzhny | 1982 | – | Russia | 2006/2010 US Open semifinalist, 2013 quarterfinalist • 2008 Australian Open quarterfinalist • 2010 French Open quarterfinalist • 2012 Wimbledon quarterfinalist • ranked world no. 8 in 2008
Jaime Yzaga | 1967 | – | Peru | 1991 Australian Open quarterfinalist (first appearance) • 1994 US Open quarterfinalist • ranked world no. 18 in 1989
Mariano Zabaleta | 1978 | – | Argentina | 2001 US Open quarterfinalist • ranked world no. 20 in 2000
Vladimír Zedník | 1947 | – | Czechoslovakia | 1973 Australian Open quarterfinalist
Nenad Zimonjić | 1976 | – | Serbia | 
Slobodan Živojinović | 1963 | – | Socialist Federal Republic of Yugoslavia | 1985 Australian Open semifinalist (first appearance) • 1986 Wimbledon semifinalist, 1987 quarterfinalist
Alexander Zverev | 1997 | – | Germany | Ranked world no. 3 in 2017 • 2018 French Open quarterfinalist • 2018 Tour Finals champion
Mischa Zverev | 1997 | – | Germany | 2017 Australian Open quarterfinalist • ranked world no. 25 in 2017


Total player: 642
